,7n9c_D,7d8b_B,7l6v_D,7p5v_G,6zwk_A,7ocy_C,7cz0_E,7oan_F,7m1h_F,7kd0_C,7tpr_D,7z1b_E,7nft_C,7rby_B,7d4b_B,7e6u_B,7p5w_G,7vfa_D,7s7r_B,7fau_B,7nfr_B,7lzp_C,7r63_A,7l6v_B,7php_N,7anq_B,7m1h_E,7z1c_E,7olz_B,7d6y_B,7r4i_D,7fat_B,7sl9_B,7nqa_C,7te8_A,7o06_A,7p6k_G,7omn_A,7te8_C,7p60_G,7ar0_B,7l6v_C,7qbg_E,7qbe_E,7t5f_B,7lzp_B,7na9_D,7s2r_B,7b2p_D,7r74_B,7p5y_G,7qiv_C,7r98_D,7r20_B,7czd_A,7tpr_F,7e53_B,7f5g_B,7zfb_M,7ndf_C,7t5f_C,7ngh_D,7rnn_C,7z1a_E,7apj_B,7lzp_G,7nfq_C,7ooi_A,7nqk_B,7djx_A,7pqg_B,7djy_A,7vfb_B,7r4r_D,7r4q_D
7phq_F,72,59,64,71,74,64,71,64,66,74,62,75,77,72,70,68,70,63,79,65,69,63,66,70,68,69,65,74,75,59,64,66,72,64,68,67,69,63,68,67,71,61,66,66,64,63,71,65,70,68,70,71,71,69,67,69,65,66,70,64,69,69,73,74,65,57,70,63,65,75,69,68,64,69,69
7php_K,72,59,64,71,74,64,71,64,66,74,62,75,77,72,70,68,70,63,79,65,69,63,66,70,68,69,65,74,75,59,64,66,72,64,68,67,69,63,68,67,71,61,66,66,64,63,71,65,70,68,70,71,71,69,67,69,65,66,70,64,69,69,73,74,65,57,70,63,65,75,69,68,64,69,69
7jhg_N,72,59,64,71,74,64,71,64,66,74,62,75,77,72,70,68,70,63,79,65,69,63,66,70,68,69,65,74,75,59,64,66,72,64,68,67,69,63,68,67,71,61,66,66,64,63,71,65,70,68,70,71,71,69,67,69,65,66,70,64,69,69,73,74,65,57,70,63,65,75,69,68,64,69,69
5lmj_A,75,59,64,71,74,66,73,71,68,70,68,75,77,74,72,73,73,66,77,67,67,65,69,68,71,72,68,75,78,60,68,69,73,65,67,70,72,62,68,71,74,62,72,70,67,65,73,67,69,72,74,74,66,69,69,72,66,64,71,67,68,70,74,76,68,59,72,62,68,76,72,73,70,71,73
5vxm_B,71,59,58,70,72,63,69,70,63,65,66,70,67,71,68,69,69,68,70,66,65,58,62,64,69,65,58,69,74,59,66,71,72,60,66,67,70,61,63,70,70,60,71,67,65,59,67,65,68,68,70,73,66,66,66,70,63,64,65,65,68,69,69,70,64,53,66,61,62,72,69,66,68,72,69
6ocd_B,69,61,60,68,71,64,70,68,67,64,63,71,70,77,71,69,69,63,72,63,66,63,62,66,67,67,65,70,74,62,67,68,70,60,67,64,68,65,67,68,69,57,76,67,66,65,68,61,66,69,73,71,61,64,68,66,63,63,73,63,67,68,71,70,65,55,69,66,61,72,75,65,66,69,68
4tvs_a,75,64,63,71,79,65,71,67,69,69,67,74,76,76,73,71,72,67,80,65,67,63,66,69,70,76,64,74,76,62,71,74,73,65,66,70,70,65,66,72,77,64,72,69,65,70,74,68,69,70,72,76,70,69,68,73,68,64,71,68,69,69,72,74,67,57,69,65,65,80,78,70,73,71,71
7o31_X,71,59,63,72,73,65,72,63,65,73,61,74,77,71,69,67,71,62,78,64,68,62,65,69,67,68,64,73,74,58,63,65,71,63,67,67,70,62,67,68,71,60,65,65,64,62,70,64,69,68,71,70,70,68,66,68,64,67,69,64,68,69,72,73,64,56,69,62,64,74,68,67,63,68,68
7m74_N,72,59,63,72,73,65,72,63,66,73,62,75,77,72,70,68,71,63,78,65,68,63,66,69,68,69,65,74,75,58,64,66,72,63,68,67,70,63,68,68,71,61,65,66,64,63,70,64,70,68,71,71,71,68,67,69,65,67,69,64,68,69,73,74,65,57,70,63,64,75,69,67,63,69,69
6h16_B,75,62,67,74,80,68,74,69,71,72,70,78,77,76,73,72,74,68,84,66,70,67,69,73,74,73,66,78,79,62,70,74,77,68,73,75,73,66,73,71,79,63,75,72,68,66,74,67,70,75,75,79,71,74,75,70,66,71,69,73,72,73,75,78,72,60,73,68,68,79,76,73,73,75,72
5lhr_B,77,63,65,74,78,68,75,67,71,73,66,80,80,73,73,74,74,71,88,71,69,65,68,74,76,74,68,80,81,65,67,74,79,63,73,76,75,64,72,72,82,63,73,73,69,66,77,69,72,73,75,77,70,74,73,71,70,69,72,69,74,75,77,79,72,60,74,65,69,81,75,76,73,74,73
5ovw_G,65,57,59,64,67,61,65,63,64,66,60,65,67,74,66,64,64,59,70,63,59,61,61,65,67,64,60,65,70,57,63,66,67,62,64,65,65,62,66,66,67,55,75,65,63,62,65,61,64,65,65,66,60,64,63,63,60,62,69,63,64,67,70,66,61,53,64,63,65,66,66,64,66,65,64
4fhb_D,74,59,60,67,74,63,67,61,65,68,68,75,75,72,71,71,68,67,79,67,67,60,65,66,66,72,60,74,77,59,64,74,72,61,65,69,67,63,66,68,78,60,67,68,62,63,74,66,65,71,68,75,69,69,68,71,69,64,68,66,66,67,68,76,64,54,67,63,66,75,77,69,71,67,69
6a96_K,73,59,62,70,73,66,71,64,67,66,66,76,75,76,70,70,73,66,78,67,66,62,66,67,69,71,65,76,77,60,67,73,75,62,67,70,70,64,68,69,76,59,70,68,66,68,74,65,66,67,74,73,70,69,66,67,69,63,72,66,67,68,72,76,66,53,71,64,67,77,73,71,72,67,69
5ojm_K,73,59,62,70,73,66,71,64,67,66,66,76,75,76,70,70,73,66,78,67,66,62,66,67,69,71,65,76,77,60,67,73,75,62,67,70,70,64,68,69,76,59,70,68,66,68,74,65,66,67,74,73,70,69,66,67,69,63,72,66,67,68,72,76,66,53,71,64,67,77,73,71,72,67,69
5o8f_K,73,59,62,70,73,66,71,64,67,66,66,76,75,76,70,70,73,66,78,67,66,62,66,67,69,71,65,76,77,60,67,73,75,62,67,70,70,64,68,69,76,59,70,68,66,68,74,65,66,67,74,73,70,69,66,67,69,63,72,66,67,68,72,76,66,53,71,64,67,77,73,71,72,67,69
4kro_B,75,61,62,68,75,62,66,63,69,67,68,76,77,73,72,69,68,68,78,65,66,63,68,67,70,73,65,76,78,61,64,74,75,62,67,71,66,63,66,69,78,61,69,68,65,68,76,65,68,69,68,74,66,68,69,68,66,65,67,64,68,67,71,76,65,57,70,62,64,80,74,70,72,68,66
4krn_A,75,61,62,68,75,62,66,63,69,67,68,76,77,73,72,69,68,68,78,65,66,63,68,67,70,73,65,76,78,61,64,74,75,62,67,71,66,63,66,69,78,61,69,68,65,68,76,65,68,69,68,74,66,68,69,68,66,65,67,64,68,67,71,76,65,57,70,62,64,80,74,70,72,68,66
4jvp_A,65,58,57,64,69,58,64,65,63,65,63,66,66,75,67,66,64,63,71,63,62,57,61,62,69,63,60,66,70,59,66,68,67,59,68,66,65,61,70,67,66,58,69,66,63,60,64,62,64,66,65,65,63,64,68,65,59,64,67,59,63,66,67,66,58,51,65,62,59,69,66,65,66,69,65
6gkd_C,77,56,63,72,74,66,72,65,69,71,67,74,78,74,70,71,73,66,78,66,67,64,69,69,69,74,66,74,78,57,66,71,76,62,69,71,71,64,69,70,75,64,71,71,67,63,74,65,68,72,72,75,67,71,69,69,69,67,69,68,72,69,71,74,68,57,68,64,69,78,71,75,69,70,68
4aq1_B,74,59,61,69,72,63,71,66,69,68,69,74,73,72,69,70,71,67,77,70,64,60,68,67,69,72,66,74,76,59,69,70,76,61,68,69,70,63,71,70,76,60,70,71,63,63,71,67,65,70,73,73,66,70,69,69,66,62,68,64,68,70,69,73,65,54,69,62,66,74,75,71,71,72,66
6waq_A,77,62,61,70,76,65,71,68,71,70,68,79,79,74,73,72,72,69,82,70,70,61,70,73,70,80,64,79,82,62,71,73,73,63,69,74,70,62,68,71,79,63,70,71,67,72,75,67,67,73,74,79,73,73,70,70,69,65,70,67,70,71,73,79,68,56,74,65,67,80,77,74,74,72,70
2x1q_A,72,58,60,65,72,61,65,57,68,65,64,72,74,71,69,69,68,65,75,68,68,61,64,67,68,71,61,71,72,58,59,70,72,61,66,67,67,61,66,64,73,57,69,68,65,63,71,64,69,64,68,72,66,65,66,66,67,61,65,61,66,66,69,71,61,54,68,61,69,73,71,71,68,69,64
7eh3_A,79,59,61,69,74,61,67,64,67,68,67,73,75,75,69,69,71,69,78,69,66,61,68,67,66,74,61,73,75,59,65,72,74,60,67,67,68,61,66,69,75,60,67,70,64,65,71,64,67,69,71,74,67,68,68,68,70,64,67,64,66,69,69,74,64,56,68,60,65,78,71,71,72,70,71
6oq6_D,62,58,58,63,68,59,65,63,62,64,60,66,69,71,66,67,64,58,66,63,61,58,61,65,62,65,58,66,67,59,59,62,66,59,64,64,65,62,63,61,66,56,69,64,61,58,65,56,62,63,65,63,59,61,61,65,62,60,70,57,61,64,65,67,61,50,64,65,62,69,65,65,60,65,63
6oq5_D,62,58,58,63,68,59,65,63,62,64,60,66,69,71,66,67,64,58,66,63,61,58,61,65,62,65,58,66,67,59,59,62,66,59,64,64,65,62,63,61,66,56,69,64,61,58,65,56,62,63,65,63,59,61,61,65,62,60,70,57,61,64,65,67,61,50,64,65,62,69,65,65,60,65,63
5o8f_L,73,59,62,70,73,66,72,64,67,66,66,75,75,76,69,69,74,66,78,67,66,62,65,67,69,71,65,75,77,60,67,73,75,61,67,70,71,63,68,69,76,58,70,68,66,67,74,65,66,67,74,73,70,69,66,67,69,63,72,66,67,69,72,76,66,52,71,64,67,77,73,71,72,67,68
5imo_B,83,62,65,73,78,68,73,68,72,74,72,81,78,73,76,72,75,70,84,69,69,65,69,69,72,76,66,81,84,62,71,76,80,66,70,71,73,66,71,75,81,66,74,75,69,69,77,68,71,72,78,78,71,72,70,74,70,66,71,68,71,74,74,81,69,58,73,67,69,83,78,78,73,74,72
