,model,Number of residues in common,global rmsd,TM-score,MaxSub-score,GDT-TS-score,GDT-TS-score %(d<1),GDT-TS-score %(d<2),GDT-TS-score %(d<4),GDT-TS-score %(d<8),GDT-HA-score,GDT-HA-score %(d<0.5),GDT-HA-score %(d<1),GDT-HA-score %(d<2),GDT-HA-score %(d<4),TM-score Superposition Length(d<5.0),CDR3 length,resolution
7p6k_G,OFr20em,114,1.512,0.8935,0.8672,0.8443,0.5088,0.8772,0.9912,1.0,0.6382,0.1754,0.5088,0.8772,0.9912,113,6,3.8
7p6k_G,YS,114,2.306,0.8083,0.7379,0.739,0.3596,0.6842,0.9123,1.0,0.5219,0.1316,0.3596,0.6842,0.9123,107,6,3.8
7p6k_G,NN,114,1.453,0.9055,0.8749,0.8728,0.5789,0.9211,0.9912,1.0,0.6645,0.1667,0.5789,0.9211,0.9912,112,6,3.8
7p6k_G,NNem,114,1.873,0.8358,0.7932,0.7522,0.2719,0.7368,1.0,1.0,0.5285,0.1053,0.2719,0.7368,1.0,114,6,3.8
7p6k_G,OFem,114,1.525,0.8924,0.866,0.8443,0.5175,0.8684,0.9912,1.0,0.6404,0.1842,0.5175,0.8684,0.9912,113,6,3.8
7p6k_G,OFr20,114,1.357,0.9155,0.8935,0.8947,0.6491,0.9298,1.0,1.0,0.6908,0.1842,0.6491,0.9298,1.0,113,6,3.8
7p6k_G,IF,114,1.277,0.9187,0.8947,0.8904,0.6053,0.9561,1.0,1.0,0.6864,0.1842,0.6053,0.9561,1.0,114,6,3.8
7p6k_G,OFr4em,114,1.496,0.895,0.8683,0.8487,0.5175,0.886,0.9912,1.0,0.6404,0.1667,0.5175,0.886,0.9912,113,6,3.8
7p6k_G,AF2r10,114,1.336,0.9165,0.89,0.8838,0.6053,0.9298,1.0,1.0,0.6798,0.1842,0.6053,0.9298,1.0,114,6,3.8
7apj_B,OFr20em,114,1.938,0.9249,0.9024,0.9254,0.807,0.9298,0.9737,0.9912,0.7939,0.4649,0.807,0.9298,0.9737,110,8,2.05
7apj_B,OF,114,1.696,0.9411,0.922,0.9518,0.8947,0.9386,0.9737,1.0,0.8728,0.6842,0.8947,0.9386,0.9737,110,8,2.05
7apj_B,AF2em,114,1.988,0.9109,0.8839,0.8991,0.693,0.9298,0.9737,1.0,0.7456,0.386,0.693,0.9298,0.9737,109,8,2.05
7apj_B,ESM,114,1.813,0.9359,0.9116,0.9364,0.8596,0.9298,0.9649,0.9912,0.864,0.7018,0.8596,0.9298,0.9649,110,8,2.05
7apj_B,AF2r10em,114,1.836,0.9288,0.905,0.9342,0.8421,0.9298,0.9737,0.9912,0.8092,0.4912,0.8421,0.9298,0.9737,110,8,2.05
7apj_B,IFem,114,2.111,0.9038,0.8779,0.8947,0.7193,0.9123,0.9561,0.9912,0.7215,0.2982,0.7193,0.9123,0.9561,108,8,2.05
7apj_B,AF2,114,1.783,0.938,0.9153,0.9452,0.8772,0.9386,0.9737,0.9912,0.8706,0.693,0.8772,0.9386,0.9737,110,8,2.05
7apj_B,OFem,114,1.952,0.9219,0.8991,0.9189,0.7807,0.9298,0.9737,0.9912,0.7851,0.4561,0.7807,0.9298,0.9737,109,8,2.05
7apj_B,OFr4,114,1.696,0.9411,0.922,0.9518,0.8947,0.9386,0.9737,1.0,0.8728,0.6842,0.8947,0.9386,0.9737,110,8,2.05
7apj_B,NNem,114,2.334,0.8565,0.8187,0.8268,0.5526,0.8158,0.9386,1.0,0.6228,0.1842,0.5526,0.8158,0.9386,106,8,2.05
7apj_B,IF,114,1.826,0.9311,0.9079,0.9408,0.8509,0.9386,0.9737,1.0,0.8333,0.5702,0.8509,0.9386,0.9737,109,8,2.05
7apj_B,OFr4em,114,1.953,0.9233,0.9005,0.9211,0.7895,0.9298,0.9737,0.9912,0.7917,0.4737,0.7895,0.9298,0.9737,109,8,2.05
7apj_B,OFr20,114,1.696,0.9411,0.922,0.9518,0.8947,0.9386,0.9737,1.0,0.8728,0.6842,0.8947,0.9386,0.9737,110,8,2.05
7apj_B,YS,114,2.529,0.8665,0.8256,0.8684,0.693,0.8684,0.9211,0.9912,0.6886,0.2719,0.693,0.8684,0.9211,102,8,2.05
7apj_B,NN,114,1.998,0.8997,0.859,0.9057,0.7982,0.8684,0.9561,1.0,0.7763,0.4825,0.7982,0.8684,0.9561,107,8,2.05
7apj_B,AF2r10,114,1.727,0.941,0.9202,0.9496,0.886,0.9386,0.9737,1.0,0.8772,0.7105,0.886,0.9386,0.9737,110,8,2.05
7r4q_D,AF2r10em,120,2.028,0.9038,0.8729,0.8958,0.7417,0.8917,0.95,1.0,0.7562,0.4417,0.7417,0.8917,0.95,114,12,3.6
7r4q_D,IF,120,1.56,0.9221,0.8869,0.9187,0.8,0.8917,0.9833,1.0,0.8125,0.575,0.8,0.8917,0.9833,117,12,3.6
7r4q_D,AF2r10,120,1.867,0.9221,0.8955,0.9187,0.825,0.9083,0.9417,1.0,0.8313,0.65,0.825,0.9083,0.9417,113,12,3.6
7r4q_D,OF,120,1.703,0.9261,0.8972,0.9271,0.8333,0.9167,0.9583,1.0,0.8271,0.6,0.8333,0.9167,0.9583,113,12,3.6
7r4q_D,OFr4,120,1.674,0.9264,0.8969,0.9229,0.8333,0.9083,0.95,1.0,0.8375,0.6583,0.8333,0.9083,0.95,113,12,3.6
7r4q_D,OFem,120,1.777,0.9057,0.8694,0.8896,0.7167,0.8833,0.9583,1.0,0.7562,0.4667,0.7167,0.8833,0.9583,114,12,3.6
7r4q_D,OFr20em,120,1.838,0.9025,0.866,0.8896,0.7167,0.8833,0.9583,1.0,0.75,0.4417,0.7167,0.8833,0.9583,114,12,3.6
7r4q_D,AF2,120,1.868,0.9221,0.8954,0.9187,0.825,0.9083,0.9417,1.0,0.8292,0.6417,0.825,0.9083,0.9417,113,12,3.6
7r4q_D,OFr20,120,1.739,0.926,0.8978,0.925,0.825,0.9167,0.9583,1.0,0.8292,0.6167,0.825,0.9167,0.9583,114,12,3.6
7r4q_D,ESM,120,1.818,0.9201,0.8909,0.9104,0.8,0.9,0.9417,1.0,0.8208,0.6417,0.8,0.9,0.9417,113,12,3.6
7r4q_D,NN,120,1.44,0.9276,0.896,0.9208,0.7917,0.9083,0.9833,1.0,0.7896,0.475,0.7917,0.9083,0.9833,118,12,3.6
7r4q_D,YS,120,2.152,0.8881,0.8507,0.8604,0.6083,0.8917,0.9417,1.0,0.6687,0.2333,0.6083,0.8917,0.9417,113,12,3.6
7r4q_D,OFr4em,120,1.815,0.9027,0.8658,0.8854,0.7083,0.8833,0.95,1.0,0.7583,0.4917,0.7083,0.8833,0.95,114,12,3.6
7r4q_D,AF2em,120,1.977,0.903,0.8705,0.8917,0.7167,0.9,0.95,1.0,0.75,0.4333,0.7167,0.9,0.95,113,12,3.6
7r4q_D,IFem,120,1.648,0.9057,0.8675,0.8896,0.7,0.875,0.9833,1.0,0.7271,0.35,0.7,0.875,0.9833,114,12,3.6
7r4q_D,NNem,120,1.686,0.901,0.8566,0.8896,0.7083,0.875,0.975,1.0,0.7021,0.25,0.7083,0.875,0.975,117,12,3.6
7l6v_B,AF2,115,0.78,0.9727,0.964,0.9826,0.9478,0.9826,1.0,1.0,0.9043,0.687,0.9478,0.9826,1.0,115,8,2.01
7l6v_B,NNem,115,1.191,0.9327,0.9118,0.9152,0.713,0.9478,1.0,1.0,0.7413,0.3043,0.713,0.9478,1.0,115,8,2.01
7l6v_B,IF,115,0.776,0.9689,0.9579,0.9783,0.9304,0.9826,1.0,1.0,0.8826,0.6174,0.9304,0.9826,1.0,115,8,2.01
7l6v_B,OFr20,115,0.766,0.9738,0.9653,0.9804,0.9391,0.9826,1.0,1.0,0.9152,0.7391,0.9391,0.9826,1.0,115,8,2.01
7l6v_B,IFem,115,1.094,0.943,0.9236,0.9326,0.7739,0.9565,1.0,1.0,0.7783,0.3826,0.7739,0.9565,1.0,115,8,2.01
7l6v_B,AF2r10,115,0.782,0.9725,0.9638,0.9826,0.9478,0.9826,1.0,1.0,0.9065,0.6957,0.9478,0.9826,1.0,115,8,2.01
7l6v_B,AF2m,115,0.884,0.9652,0.9515,0.9652,0.887,0.9739,1.0,1.0,0.8783,0.6522,0.887,0.9739,1.0,114,8,2.01
7l6v_B,OFr20em,115,0.888,0.9633,0.9501,0.9696,0.9043,0.9739,1.0,1.0,0.8587,0.5565,0.9043,0.9739,1.0,115,8,2.01
7l6v_B,NN,115,0.748,0.9715,0.9612,0.9739,0.913,0.9826,1.0,1.0,0.887,0.6522,0.913,0.9826,1.0,115,8,2.01
7l6v_B,OFr4,115,0.766,0.9739,0.9656,0.9804,0.9391,0.9826,1.0,1.0,0.913,0.7304,0.9391,0.9826,1.0,115,8,2.01
7l6v_B,AF2em,115,1.129,0.9528,0.9362,0.9565,0.8609,0.9739,0.9913,1.0,0.8391,0.5304,0.8609,0.9739,0.9913,113,8,2.01
7l6v_B,OFem,115,1.025,0.9509,0.9355,0.95,0.8435,0.9565,1.0,1.0,0.8152,0.4609,0.8435,0.9565,1.0,115,8,2.01
7l6v_B,AF2mem,115,1.198,0.9415,0.9218,0.9326,0.7913,0.9478,0.9913,1.0,0.787,0.4174,0.7913,0.9478,0.9913,113,8,2.01
7l6v_B,OF,115,0.765,0.9738,0.9654,0.9804,0.9391,0.9826,1.0,1.0,0.9152,0.7391,0.9391,0.9826,1.0,115,8,2.01
7l6v_B,ESM,115,0.925,0.962,0.9515,0.9609,0.887,0.9565,1.0,1.0,0.8696,0.6348,0.887,0.9565,1.0,115,8,2.01
7l6v_B,YS,115,1.412,0.9115,0.8877,0.8783,0.6348,0.887,0.9913,1.0,0.7087,0.3217,0.6348,0.887,0.9913,114,8,2.01
7l6v_B,OFr4em,115,0.986,0.9537,0.9376,0.9543,0.8609,0.9565,1.0,1.0,0.8174,0.4522,0.8609,0.9565,1.0,115,8,2.01
7l6v_B,AF2r10em,115,1.082,0.9539,0.9364,0.9565,0.8609,0.9739,0.9913,1.0,0.8391,0.5304,0.8609,0.9739,0.9913,113,8,2.01
7d8b_B,OF,132,2.686,0.8945,0.852,0.8977,0.803,0.8788,0.9242,0.9848,0.7973,0.5833,0.803,0.8788,0.9242,119,24,2.46
7d8b_B,OFr20em,132,2.716,0.8847,0.8383,0.8826,0.7727,0.8561,0.9167,0.9848,0.7576,0.4848,0.7727,0.8561,0.9167,119,24,2.46
7d8b_B,AF2r10,132,3.734,0.8878,0.8608,0.8788,0.7879,0.8712,0.9091,0.947,0.7936,0.6061,0.7879,0.8712,0.9091,120,24,2.46
7d8b_B,AF2,132,3.814,0.8864,0.8578,0.8769,0.7879,0.8788,0.9015,0.9394,0.7936,0.6061,0.7879,0.8788,0.9015,119,24,2.46
7d8b_B,OFem,132,2.734,0.8845,0.8392,0.8807,0.7652,0.8561,0.9167,0.9848,0.7614,0.5076,0.7652,0.8561,0.9167,119,24,2.46
7d8b_B,NNem,132,6.144,0.8254,0.7883,0.7992,0.6061,0.8258,0.8712,0.8939,0.6364,0.2424,0.6061,0.8258,0.8712,115,24,2.46
7d8b_B,AF2mem,132,3.099,0.866,0.8216,0.8636,0.697,0.8561,0.9015,1.0,0.7121,0.3939,0.697,0.8561,0.9015,118,24,2.46
7d8b_B,ESM,132,3.664,0.894,0.8695,0.8883,0.803,0.8939,0.9091,0.947,0.8087,0.6288,0.803,0.8939,0.9091,119,24,2.46
7d8b_B,OFr4,132,3.509,0.8844,0.8472,0.8693,0.7727,0.8409,0.9091,0.9545,0.7746,0.5758,0.7727,0.8409,0.9091,121,24,2.46
7d8b_B,IF,132,6.074,0.848,0.8231,0.8409,0.75,0.8409,0.8712,0.9015,0.7557,0.5606,0.75,0.8409,0.8712,113,24,2.46
7d8b_B,AF2r10em,132,3.868,0.8788,0.8438,0.8655,0.7652,0.8636,0.9015,0.9318,0.7633,0.5227,0.7652,0.8636,0.9015,120,24,2.46
7d8b_B,OFr4em,132,3.676,0.876,0.8393,0.8598,0.7424,0.8333,0.9091,0.9545,0.75,0.5152,0.7424,0.8333,0.9091,121,24,2.46
7d8b_B,IFem,132,6.034,0.8391,0.8068,0.8314,0.7121,0.8333,0.8788,0.9015,0.7027,0.3864,0.7121,0.8333,0.8788,114,24,2.46
7d8b_B,OFr20,132,2.686,0.8945,0.852,0.8977,0.803,0.8788,0.9242,0.9848,0.7973,0.5833,0.803,0.8788,0.9242,119,24,2.46
7d8b_B,AF2em,132,3.908,0.8692,0.8336,0.8504,0.7273,0.8485,0.8939,0.9318,0.7292,0.447,0.7273,0.8485,0.8939,119,24,2.46
7d8b_B,AF2m,132,3.054,0.8869,0.8523,0.892,0.803,0.8788,0.8939,0.9924,0.8049,0.6439,0.803,0.8788,0.8939,118,24,2.46
7d8b_B,YS,132,5.049,0.8303,0.7897,0.7955,0.5682,0.8106,0.8788,0.9242,0.6193,0.2197,0.5682,0.8106,0.8788,116,24,2.46
7d8b_B,NN,132,5.859,0.8452,0.8169,0.839,0.7424,0.8409,0.8788,0.8939,0.7311,0.4621,0.7424,0.8409,0.8788,115,24,2.46
7pqg_B,YS,124,1.892,0.8713,0.8144,0.8004,0.4274,0.8145,0.9597,1.0,0.5907,0.1613,0.4274,0.8145,0.9597,121,17,3.7
7pqg_B,ESM,124,1.634,0.8973,0.857,0.8609,0.5887,0.871,0.9839,1.0,0.6573,0.1855,0.5887,0.871,0.9839,122,17,3.7
7pqg_B,IFem,124,1.43,0.9054,0.8742,0.8488,0.5161,0.879,1.0,1.0,0.6472,0.1935,0.5161,0.879,1.0,124,17,3.7
7pqg_B,OF,124,1.847,0.8917,0.8491,0.8649,0.621,0.871,0.9677,1.0,0.6653,0.2016,0.621,0.871,0.9677,121,17,3.7
7pqg_B,AF2,124,1.464,0.9134,0.8819,0.877,0.6129,0.9113,0.9839,1.0,0.6815,0.2177,0.6129,0.9113,0.9839,123,17,3.7
7pqg_B,AF2mem,124,1.781,0.8766,0.8237,0.8165,0.4919,0.7984,0.9758,1.0,0.6129,0.1855,0.4919,0.7984,0.9758,122,17,3.7
7pqg_B,AF2em,124,1.606,0.8956,0.8598,0.8306,0.4758,0.8629,0.9839,1.0,0.6169,0.1452,0.4758,0.8629,0.9839,122,17,3.7
7pqg_B,OFr4,124,1.847,0.8917,0.8491,0.8649,0.621,0.871,0.9677,1.0,0.6653,0.2016,0.621,0.871,0.9677,121,17,3.7
7pqg_B,OFr20,124,1.847,0.8917,0.8491,0.8649,0.621,0.871,0.9677,1.0,0.6653,0.2016,0.621,0.871,0.9677,121,17,3.7
7pqg_B,OFem,124,1.963,0.8716,0.8204,0.8165,0.5,0.7984,0.9677,1.0,0.6069,0.1613,0.5,0.7984,0.9677,121,17,3.7
7pqg_B,OFr4em,124,2.01,0.8622,0.8091,0.8024,0.4677,0.7823,0.9597,1.0,0.5847,0.129,0.4677,0.7823,0.9597,121,17,3.7
7pqg_B,AF2r10,124,1.488,0.9106,0.8782,0.869,0.5806,0.9113,0.9839,1.0,0.6694,0.2016,0.5806,0.9113,0.9839,122,17,3.7
7pqg_B,AF2r10em,124,1.654,0.891,0.8513,0.8306,0.4677,0.879,0.9758,1.0,0.619,0.1532,0.4677,0.879,0.9758,123,17,3.7
7pqg_B,NN,124,1.534,0.9026,0.868,0.8528,0.5484,0.871,0.9919,1.0,0.6532,0.2016,0.5484,0.871,0.9919,123,17,3.7
7pqg_B,IF,124,1.366,0.9125,0.883,0.871,0.5726,0.9113,1.0,1.0,0.6734,0.2097,0.5726,0.9113,1.0,124,17,3.7
7pqg_B,NNem,124,1.966,0.8517,0.7963,0.7702,0.371,0.7339,0.9758,1.0,0.5565,0.1452,0.371,0.7339,0.9758,121,17,3.7
7pqg_B,OFr20em,124,1.956,0.8719,0.8208,0.8185,0.5,0.8065,0.9677,1.0,0.6089,0.1613,0.5,0.8065,0.9677,121,17,3.7
7pqg_B,AF2m,124,1.709,0.8863,0.8397,0.8427,0.5484,0.8387,0.9839,1.0,0.6351,0.1694,0.5484,0.8387,0.9839,123,17,3.7
7anq_B,OFr4em,127,1.592,0.9051,0.8536,0.876,0.6772,0.8504,0.9764,1.0,0.7106,0.3386,0.6772,0.8504,0.9764,127,18,2.2
7anq_B,AF2em,127,1.63,0.9065,0.8485,0.8819,0.685,0.8819,0.9606,1.0,0.7146,0.3307,0.685,0.8819,0.9606,126,18,2.2
7anq_B,NN,127,0.814,0.9665,0.9545,0.9547,0.8268,0.9921,1.0,1.0,0.8543,0.5984,0.8268,0.9921,1.0,127,18,2.2
7anq_B,OFr20,127,1.206,0.9434,0.9146,0.9272,0.8031,0.9134,0.9921,1.0,0.8248,0.5906,0.8031,0.9134,0.9921,127,18,2.2
7anq_B,NNem,127,1.095,0.9397,0.918,0.8937,0.6063,0.9685,1.0,1.0,0.6969,0.2126,0.6063,0.9685,1.0,127,18,2.2
7anq_B,OFem,127,1.495,0.9139,0.8668,0.8878,0.6929,0.874,0.9843,1.0,0.7283,0.3622,0.6929,0.874,0.9843,127,18,2.2
7anq_B,ESM,127,2.427,0.8888,0.8404,0.8819,0.7638,0.8425,0.9213,1.0,0.7756,0.5748,0.7638,0.8425,0.9213,117,18,2.2
7anq_B,IF,127,1.521,0.916,0.8651,0.8957,0.7323,0.8583,0.9921,1.0,0.7795,0.5354,0.7323,0.8583,0.9921,127,18,2.2
7anq_B,OFr4,127,1.378,0.932,0.899,0.9134,0.7874,0.8819,0.9843,1.0,0.813,0.5984,0.7874,0.8819,0.9843,126,18,2.2
7anq_B,YS,127,3.341,0.8445,0.7877,0.8169,0.6142,0.8031,0.8819,0.9685,0.6417,0.2677,0.6142,0.8031,0.8819,114,18,2.2
7anq_B,OF,127,1.199,0.9441,0.9155,0.9291,0.811,0.9134,0.9921,1.0,0.8268,0.5906,0.811,0.9134,0.9921,127,18,2.2
7anq_B,AF2mem,127,1.74,0.897,0.8407,0.8642,0.6299,0.8583,0.9685,1.0,0.6831,0.2756,0.6299,0.8583,0.9685,124,18,2.2
7anq_B,AF2,127,1.378,0.9321,0.892,0.9232,0.811,0.8976,0.9843,1.0,0.813,0.5591,0.811,0.8976,0.9843,127,18,2.2
7anq_B,AF2r10,127,1.426,0.9282,0.8812,0.9193,0.7953,0.8976,0.9843,1.0,0.8091,0.5591,0.7953,0.8976,0.9843,127,18,2.2
7anq_B,IFem,127,1.815,0.8824,0.8192,0.8465,0.5984,0.8189,0.9685,1.0,0.6673,0.2835,0.5984,0.8189,0.9685,125,18,2.2
7anq_B,OFr20em,127,1.534,0.9111,0.8641,0.878,0.6614,0.8661,0.9843,1.0,0.7185,0.3622,0.6614,0.8661,0.9843,127,18,2.2
7anq_B,AF2m,127,1.441,0.935,0.9033,0.9232,0.811,0.9055,0.9764,1.0,0.8287,0.622,0.811,0.9055,0.9764,124,18,2.2
7anq_B,AF2r10em,127,1.66,0.9057,0.8527,0.8799,0.685,0.8819,0.9528,1.0,0.7106,0.3228,0.685,0.8819,0.9528,126,18,2.2
7d6y_B,AF2r10em,133,2.916,0.8754,0.823,0.8722,0.7444,0.8496,0.9098,0.985,0.7444,0.4737,0.7444,0.8496,0.9098,120,24,1.668
7d6y_B,AF2,133,3.498,0.8815,0.8447,0.8835,0.797,0.8722,0.8947,0.9699,0.797,0.6241,0.797,0.8722,0.8947,118,24,1.668
7d6y_B,OFr4,133,2.292,0.9115,0.8701,0.9023,0.797,0.8872,0.9323,0.9925,0.8102,0.6241,0.797,0.8872,0.9323,124,24,1.668
7d6y_B,NNem,133,5.517,0.8109,0.7663,0.765,0.4737,0.7895,0.8797,0.9173,0.5771,0.1654,0.4737,0.7895,0.8797,116,24,1.668
7d6y_B,YS,133,4.869,0.8341,0.7924,0.797,0.5564,0.8195,0.8797,0.9323,0.6259,0.2481,0.5564,0.8195,0.8797,117,24,1.668
7d6y_B,ESM,133,3.72,0.8931,0.8675,0.8853,0.7895,0.8947,0.9098,0.9474,0.8008,0.609,0.7895,0.8947,0.9098,120,24,1.668
7d6y_B,OF,133,2.422,0.9092,0.866,0.9023,0.797,0.8947,0.9248,0.9925,0.8102,0.6241,0.797,0.8947,0.9248,123,24,1.668
7d6y_B,OFr20,133,3.667,0.8884,0.857,0.8797,0.7895,0.8797,0.9098,0.9398,0.7989,0.6165,0.7895,0.8797,0.9098,121,24,1.668
7d6y_B,IFem,133,5.068,0.8298,0.7908,0.8045,0.6165,0.8195,0.8797,0.9023,0.6485,0.2782,0.6165,0.8195,0.8797,116,24,1.668
7d6y_B,NN,133,5.425,0.8483,0.8213,0.8402,0.7143,0.8571,0.8797,0.9098,0.7162,0.4135,0.7143,0.8571,0.8797,117,24,1.668
7d6y_B,OFem,133,2.524,0.8974,0.8561,0.8872,0.7669,0.8797,0.9173,0.985,0.7707,0.5188,0.7669,0.8797,0.9173,121,24,1.668
7d6y_B,OFr4em,133,2.419,0.8979,0.8579,0.8891,0.7744,0.8647,0.9248,0.9925,0.7669,0.5038,0.7744,0.8647,0.9248,122,24,1.668
7d6y_B,OFr20em,133,3.805,0.8789,0.8446,0.8722,0.7895,0.8571,0.9023,0.9398,0.7632,0.5038,0.7895,0.8571,0.9023,121,24,1.668
7d6y_B,AF2em,133,3.488,0.8691,0.8281,0.8665,0.7444,0.8571,0.8947,0.9699,0.7406,0.4662,0.7444,0.8571,0.8947,117,24,1.668
7d6y_B,AF2mem,133,1.717,0.9169,0.8773,0.8929,0.7368,0.8872,0.9474,1.0,0.7538,0.4436,0.7368,0.8872,0.9474,127,24,1.668
7d6y_B,AF2m,133,1.387,0.9402,0.8986,0.9342,0.8346,0.9248,0.9774,1.0,0.8421,0.6316,0.8346,0.9248,0.9774,132,24,1.668
7d6y_B,IF,133,5.19,0.8481,0.8215,0.8252,0.6842,0.8346,0.8797,0.9023,0.7011,0.406,0.6842,0.8346,0.8797,117,24,1.668
7d6y_B,AF2r10,133,2.934,0.887,0.8439,0.8816,0.7744,0.8571,0.9098,0.985,0.7876,0.609,0.7744,0.8571,0.9098,121,24,1.668
7z1b_E,IF,127,1.482,0.9303,0.8933,0.9252,0.8189,0.9134,0.9685,1.0,0.8189,0.5748,0.8189,0.9134,0.9685,124,18,2.3
7z1b_E,OFr4em,127,1.95,0.8968,0.8453,0.8937,0.7638,0.8661,0.9449,1.0,0.7343,0.3622,0.7638,0.8661,0.9449,117,18,2.3
7z1b_E,AF2r10em,127,1.568,0.9144,0.8719,0.8937,0.7244,0.874,0.9764,1.0,0.7461,0.4094,0.7244,0.874,0.9764,125,18,2.3
7z1b_E,OF,127,1.798,0.9215,0.8828,0.9193,0.8346,0.8898,0.9528,1.0,0.8307,0.6457,0.8346,0.8898,0.9528,119,18,2.3
7z1b_E,AF2m,127,1.564,0.9213,0.8702,0.9173,0.811,0.8898,0.9685,1.0,0.8287,0.6457,0.811,0.8898,0.9685,124,18,2.3
7z1b_E,AF2mem,127,1.661,0.9047,0.8468,0.8819,0.7244,0.8425,0.9606,1.0,0.7343,0.4094,0.7244,0.8425,0.9606,124,18,2.3
7z1b_E,AF2em,127,1.519,0.9173,0.878,0.8996,0.748,0.874,0.9764,1.0,0.7559,0.4252,0.748,0.874,0.9764,124,18,2.3
7z1b_E,ESM,127,1.476,0.9403,0.9148,0.937,0.8268,0.937,0.9843,1.0,0.8445,0.6299,0.8268,0.937,0.9843,122,18,2.3
7z1b_E,AF2,127,1.455,0.9304,0.893,0.9232,0.8031,0.8976,0.9921,1.0,0.8327,0.6378,0.8031,0.8976,0.9921,125,18,2.3
7z1b_E,OFem,127,1.845,0.9046,0.8566,0.8937,0.748,0.874,0.9528,1.0,0.7598,0.4646,0.748,0.874,0.9528,119,18,2.3
